appid,en_name,zh_name,ja_name,match_method
578080,"PUBG: BATTLEGROUNDS","","","none"
588430,"Fallout Shelter","辐射 避难所","",exact
601510,"Yu-Gi-Oh! Duel Links","游戏王 决斗链接","",exact
613100,"House Flipper","房产达人","",exact
616720,"Live2DViewerEX","","","none"
632470,"Disco Elysium - The Final Cut","极乐迪斯科","",fuzzy (disco elysium)
635260,"CarX Drift Racing Online","","","none"
645630,"Car Mechanic Simulator 2018","汽车修理工模拟2018","",exact
646570,"Slay the Spire","尖塔奇兵","",exact
647960,"Rusted Warfare - RTS","铁锈战争","",fuzzy (rusted warfare)
657200,"Hand Simulator","","","none"
665300,"Stream Avatars","","","none"
674940,"Stick Fight: The Game","火柴人战斗","",exact
683320,"GRIS","","","none"
687850,"Head Goal: Soccer Online","","","none"
698780,"Doki Doki Literature Club!","","","none"
701380,"El Tango de la Muerte","","","none"
703080,"Planet Zoo","动物园之星","",exact
738060,"Freddy Fazbear's Pizzeria Simulator","玩具熊的披萨店模拟","",exact
753360,"VoiceActress","","","none"
755540,"LIV","","","none"
778700,"Amorous","","","none"
785480,"Titanic: Adventure Out Of Time","泰坦尼克","",exact
786520,"SAO Utils: Beta","","","none"
792050,"Beneath The Surface","","","none"
798290,"MXGP PRO","","","none"
819230,"Gothicc Breaker","","","none"
843260,"The Bard's Tale Trilogy","冰城传奇三部曲","",exact
843660,"Rogue Agent","","","none"
870820,"Wakaru ver. beta","","","none"
892970,"Valheim","英灵神殿","",exact
945360,"Among Us","在我们之中","",exact
960090,"Bloons TD 6","气球塔防6","",exact
972660,"Spiritfarer®: Farewell Edition","灵魂旅人","",fuzzy (spiritfarer)
990080,"Hogwarts Legacy","霍格沃茨之遗","",exact
1009850,"OVR Advanced Settings","","","none"
1011510,"Wizard And Minion Idle","","","none"
1028630,"Cricket 19","板球19","",exact
1041320,"Lords Mobile: Kingdom Wars","王国纪元","",fuzzy (lords mobile)
1055010,"Energy Engine PC Live Wallpaper","","","none"
1085510,"Garfield Kart - Furious Racing","加菲猫卡丁车：激情竞速","",exact
1085660,"Destiny 2","命运2","",exact
1086940,"Baldur's Gate 3","博德之门3","",exact
1091500,"Cyberpunk 2077","赛博朋克2077","",exact
